r_def,loc,mun,est,est_d,ageb,t_loc,cd_a,ent,con,upm,d_sem,n_pro_viv,v_sel,n_hog,h_mud,n_ent,per,n_ren,c_res,par_c,sex,eda,nac_dia,nac_mes,nac_anio,l_nac_c,cs_p12,cs_p13_1,cs_p13_2,cs_p14_c,cs_p15,cs_p16,cs_p17,n_hij,e_con,cs_ad_mot,cs_p20_des,cs_ad_des,cs_nr_mot,cs_p22_des,cs_nr_ori,ur,zona,salario,fac,clase1,clase2,clase3,pos_ocu,seg_soc,rama,c_ocu11c,ing7c,dur9c,emple7c,medica5c,buscar5c,rama_est1,rama_est2,dur_est,ambito1,ambito2,tue1,tue2,tue3,busqueda,d_ant_lab,d_cexp_est,dur_des,sub_o,s_clasifi,remune2c,pre_asa,tip_con,dispo,nodispo,c_inac5c,pnea_est,niv_ins,eda5c,eda7c,eda12c,eda19c,hij5c,domestico,anios_esc,hrsocup,ingocup,ing_x_hrs,tpg_p8a,tcco,cp_anoc,imssissste,ma48me1sm,p14apoyos,scian,t_tra,emp_ppal,tue_ppal,trans_ppal,mh_fil2,mh_col,sec_ins
0,1,2,10,117,0,1,1,9,40001,900471,101,1,1,1,0,2,219,2,1,201,2,49,15,1,1970,9,1,7,4,5313,3,1,2,2,5, , , , , , ,1,2,3080,466,1,1,1,1,1,3,1,4,7,6,3,4,3,5,5,2,5,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,4,3,4,7,12,2,3,16,50,0,0,0,0,0,1,0,0,6,1,2,2,0,3,2,2
0,1,2,10,117,0,1,1,9,40001,900471,101,1,1,1,0,2,219,3,1,301,1,16,5,12,2002,9,1,3,3, , , ,1, ,6, , , , , , ,1,2,3080,466,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,1,1,1,6,0,7,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,2,10,117,0,1,1,9,40001,900471,101,1,1,1,0,2,219,4,1,301,2,12,12,6,2006,9,1,2,6, , , ,1,0,6, , , , , , ,1,2,3080,466,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,2,0,0,0,5,1,7,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,2,10,117,0,1,1,9,40001,900471,101,1,1,1,0,2,219,5,1,415,2,76,10,12,1942,300,1,7,3,5711,3,2,2,5,4, , , , , , ,1,2,3080,466,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,4,4,6,11,18,3,8,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,2,10,117,0,1,1,9,40001,900471,101,23,2,1,0,2,219,1,1,101,2,43,11,8,1975,9,1,7,4,5441,3,1,2,3,6, , , , , , ,1,2,3080,466,1,1,1,1,1,4,4,4,6,6,3,4,3,11,4,2,7,2,4,2,2,0,0,0,0,0,1,1,3,0,0,0,0,4,2,4,6,11,3,3,16,40,0,0,0,0,0,2,0,0,20,1,2,2,0,3,2,5
0,1,2,10,117,0,1,1,9,40001,900471,101,23,2,1,0,2,219,2,1,301,1,18,6,12,2000,15,1,4,2, , , ,1, ,6, , , , , , ,1,2,3080,466,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,3,1,1,1,6,0,7,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,2,10,117,0,1,1,9,40001,900471,101,23,2,1,0,2,219,3,1,301,2,16,8,8,2002,15,1,3,3, , , ,1,0,6, , , , , , ,1,2,3080,466,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,1,1,1,6,1,7,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,2,10,117,0,1,1,9,40001,900471,101,53,3,1,0,2,219,1,1,101,1,70,14,9,1948,9,1,7,4,5531,3,1,2, ,6, , , , , , ,1,2,3080,466,1,1,1,3,2,2,5,4,7,1,1,4,2,3,5,2,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,11,17,0,3,16,54,0,0,0,0,1,4,0,0,5,1,2,2,0,3,8,4
0,1,2,10,117,0,1,1,9,40001,900471,101,53,3,1,0,2,219,2,1,301,2,42,13,1,1977,9,1,7,4,5213,3,1,2,0,6, , , , , , ,1,2,3080,466,1,1,1,1,1,2,1,4,6,6,3,4,2,3,4,2,5,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,4,2,4,6,11,1,3,16,40,0,0,0,0,0,1,0,0,5,1,2,2,0,3,2,2
0,1,2,10,117,0,1,1,9,40001,900471,101,79,4,1,0,2,219,1,1,101,2,68,24,9,1950,9,1,4,3, , , ,2,1,6, , , , , , ,1,2,3080,466,1,1,1,1,1,4,4,3,4,6,3,4,3,11,3,2,7,2,4,1,2,0,0,0,0,0,1,1,3,0,0,0,0,4,4,6,11,16,2,3,12,30,7000,54.26357,0,0,0,2,0,0,20,1,2,2,0,3,2,5
